PlayerID,SeasonType,Season,Team,Number,Name,Position,PositionCategory,Activated,Played,Started,OffensiveSnapsPlayed,DefensiveSnapsPlayed,SpecialTeamsSnapsPlayed
17145,1,2020,NYJ,46,N.Hewitt,ILB,DEF,16,16,16,0,599,100
17147,1,2020,BUF,31,D.Marlowe,SS,DEF,15,15,4,0,140,94
17156,1,2020,NYG,62,C.Slade,G,OFF,3,1,0,1,0,0
17157,1,2020,MIN,40,T.Davis,ILB,DEF,11,11,6,0,149,41
17179,1,2020,WAS,4,T.Heinicke,QB,OFF,3,1,0,13,0,0
17187,1,2020,MIN,41,A.Harris,FS,DEF,16,16,16,0,570,52
17215,1,2020,SEA,5,J.Myers,K,ST,16,16,0,13,0,76
17217,1,2020,SF,31,R.Mostert,RB,OFF,8,8,7,126,0,0
17218,1,2020,CHI,19,D.Carter,WR,OFF,13,13,0,19,28,20
17219,1,2020,NYJ,87,D.Brown,TE,OFF,16,16,1,15,98,77
17223,1,2020,BAL,85,E.Tomlinson,TE,OFF,7,7,2,67,0,19
17246,1,2020,CHI,93,J.Vaughters,OLB,DEF,14,14,0,0,129,80
17264,1,2020,CAR,94,E.Obada,DE,DEF,16,16,1,0,220,34
17286,1,2020,CAR,2,M.Palardy,K,ST,0,0,0,0,0,0
17289,1,2020,NO,18,J.Kumerow,WR,OFF,6,6,0,5,5,41
17290,1,2020,TEN,10,A.Humphries,WR,OFF,7,7,1,120,0,0
17294,1,2020,LAR,22,T.Hill,CB,DEF,16,16,6,0,515,3
17295,1,2020,DEN,90,D.Williams,NT,DEF,14,14,11,17,231,47
17307,1,2020,DAL,59,J.March,ILB,DEF,12,12,0,0,101,4
17327,1,2020,DAL,79,J.Hamilton,DT,DEF,10,10,2,0,125,3
17328,1,2020,DEN,29,B.Callahan,CB,DEF,10,10,10,0,347,24
17337,1,2020,DAL,29,C.Goodwin,CB,DEF,16,16,0,0,160,18
17362,1,2020,DEN,54,J.Watson,ILB,DEF,9,9,0,0,83,14
17415,1,2020,NE,83,M.LaCosse,TE,OFF,0,0,0,0,0,0
17435,1,2020,MIN,61,B.Jones,C,OFF,15,15,2,85,0,23
17443,1,2020,NE,60,D.Andrews,C,OFF,12,12,12,384,0,0
17457,1,2020,NO,62,N.Easton,OL,OFF,12,12,9,298,0,29
17470,1,2020,PIT,4,J.Berry,P,ST,11,11,0,13,0,41
17486,1,2020,CIN,67,Q.Spain,G,OFF,13,13,10,384,0,19
17488,1,2020,MIN,35,C.Riley,FS,DEF,6,6,1,1,39,16
17490,1,2020,CLE,70,K.Lamm,OT,OFF,15,15,1,73,0,24
17491,1,2020,HOU,65,G.Mancz,G,OFF,4,4,0,3,0,3
17511,1,2020,TEN,52,D.Munyer,C,OFF,3,3,0,4,0,2
17512,1,2020,TB,56,R.Nunez-Roches,DE,DEF,16,16,10,0,255,60
17527,1,2020,PHI,45,R.Lovato,LS,ST,16,16,0,12,0,52
17566,1,2020,MIA,77,J.Davis,OL,OFF,16,6,14,82,0,3
17651,1,2020,DEN,41,D.Bausby,CB,DEF,12,11,3,1,174,21
17743,1,2020,CAR,64,C.Reed,C,OFF,14,14,14,474,0,34
17747,1,2020,LV,79,D.Irving,DT,DEF,2,2,0,0,21,1
17750,1,2020,NYJ,43,R.Travis,TE,OFF,1,1,0,1,0,2
17762,1,2020,CAR,82,C.Manhertz,TE,OFF,16,16,0,267,0,42
17782,1,2020,CIN,67,B.Finney,C,OFF,7,7,0,15,0,1
17899,1,2020,LV,25,E.Harris,SS,DEF,14,14,12,0,384,122
17914,1,2020,ATL,80,L.Treadwell,WR,OFF,5,5,0,31,0,17
17915,1,2020,LAC,97,J.Bosa,DE,DEF,12,12,10,0,291,1
17916,1,2020,HOU,15,W.Fuller V,WR,OFF,11,11,11,306,0,1
17918,1,2020,HOU,78,L.Tunsil,OT,OFF,14,14,14,433,0,30
17919,1,2020,LAR,20,J.Ramsey,CB,DEF,15,15,6,0,505,3
17920,1,2020,PHI,11,C.Wentz,QB,OFF,15,12,11,428,0,0
17921,1,2020,BAL,79,R.Stanley,OT,OFF,6,6,6,165,0,0
17922,1,2020,LAR,16,J.Goff,QB,OFF,15,15,5,555,0,0
17923,1,2020,DAL,21,E.Elliott,RB,OFF,15,15,14,417,0,0
17925,1,2020,JAX,44,M.Jack,OLB,DEF,14,14,14,0,493,0
17926,1,2020,DAL,54,J.Smith,ILB,DEF,16,16,15,0,573,46
17933,1,2020,IND,99,D.Buckner,DT,DEF,15,15,14,0,398,67
17935,1,2020,LAR,54,L.Floyd,OLB,DEF,16,16,6,0,485,1
17936,1,2020,CLE,78,J.Conklin,OT,OFF,16,15,15,529,0,28
17937,1,2020,DET,59,R.Ragland,LB,DEF,16,16,6,0,298,12
17939,1,2020,NYJ,18,J.Doctson,WR,OFF,0,0,0,0,0,0
17940,1,2020,WAS,63,J.Garnett,G,OFF,3,3,0,1,0,2
17942,1,2020,ATL,22,K.Neal,SS,DEF,15,15,14,0,486,26
17943,1,2020,MIA,90,S.Lawson,DE,DEF,14,14,7,0,303,41
17944,1,2020,BUF,94,V.Butler,DT,DEF,14,14,9,0,227,29
17945,1,2020,CIN,22,W.Jackson III,CB,DEF,14,14,14,0,470,13
17946,1,2020,DET,68,T.Decker,OT,OFF,16,16,16,556,0,2
17947,1,2020,GB,97,K.Clark,NT,DEF,13,13,13,0,316,3
17948,1,2020,IND,78,R.Kelly,C,OFF,15,15,15,534,0,0
17949,1,2020,NO,98,S.Rankins,DT,DEF,12,12,1,0,220,1
17950,1,2020,CAR,41,E.Apple,CB,DEF,2,2,0,2,15,0
17951,1,2020,BUF,52,D.Lee,LB,DEF,2,2,0,0,16,0
17952,1,2020,CLE,42,K.Joseph,SS,DEF,14,14,8,0,350,55
17954,1,2020,CHI,74,G.Ifedi,G,OFF,16,16,15,565,0,37
17955,1,2020,HOU,26,V.Hargreaves III,CB,DEF,16,16,16,0,520,1
17958,1,2020,MIA,91,E.Ogbah,DE,DEF,16,16,11,0,420,47
17959,1,2020,TEN,22,D.Henry,RB,OFF,16,16,16,373,0,0
17960,1,2020,NO,13,M.Thomas,WR,OFF,7,7,5,183,0,0
17961,1,2020,NYG,87,S.Shepard,WR,OFF,12,12,12,297,0,0
17963,1,2020,CLE,81,A.Hooper,TE,OFF,13,13,13,363,0,1
17965,1,2020,HOU,24,C.Prosise,RB,OFF,10,10,0,24,32,28
17967,1,2020,JAX,47,J.Schobert,ILB,DEF,16,16,16,0,588,0
17968,1,2020,CLE,99,A.Billings,NT,DEF,0,0,0,0,0,0
17970,1,2020,LV,23,D.Booker,RB,OFF,16,16,1,126,0,43
17975,1,2020,LAC,86,H.Henry,TE,OFF,14,14,14,484,0,4
17976,1,2020,MIA,25,X.Howard,CB,DEF,16,16,15,0,496,1
17977,1,2020,JAX,55,K.Correa,OLB,DEF,9,9,6,0,104,33
17978,1,2020,BAL,53,J.Ward,OLB,DEF,10,10,0,0,144,2
17979,1,2020,LAR,94,A.Robinson,NT,DEF,8,8,0,0,59,17
17980,1,2020,CHI,78,J.Spriggs,OT,OFF,14,8,0,40,11,2
17981,1,2020,SEA,90,J.Reed,DT,DEF,16,16,15,0,449,40
17982,1,2020,HOU,66,N.Martin,C,OFF,16,16,16,519,0,1
17983,1,2020,ATL,45,D.Jones,ILB,DEF,16,16,16,0,551,52
17985,1,2020,CIN,21,M.Alexander,CB,DEF,13,13,10,0,340,0
17986,1,2020,CIN,83,T.Boyd,WR,OFF,15,15,8,395,0,1
17987,1,2020,CHI,65,C.Whitehair,C,OFF,14,14,13,473,0,0
17988,1,2020,ATL,39,T.Green,SS,DEF,1,1,0,0,0,3
17989,1,2020,PIT,21,S.Davis,FS,DEF,16,16,1,5,31,102
17991,1,2020,CIN,24,V.Bell,SS,DEF,16,16,16,0,561,48
17992,1,2020,NYG,24,J.Bradberry,CB,DEF,15,15,14,0,540,47
17993,1,2020,JAX,96,A.Gotsis,DE,DEF,16,16,14,0,307,89
17994,1,2020,TEN,31,K.Byard,FS,DEF,16,16,16,0,584,17
17995,1,2020,LV,94,C.Nassib,DE,DEF,14,14,5,0,245,3
17997,1,2020,LV,97,M.Collins,DT,DEF,12,12,11,0,267,30
17998,1,2020,GB,25,W.Redmond,FS,DEF,13,13,1,0,181,126
17999,1,2020,BAL,91,Y.Ngakoue,DE,DEF,15,15,8,0,348,23
18001,1,2020,DAL,23,D.Thompson,SS,DEF,15,15,6,0,271,117
18002,1,2020,SEA,93,J.Bullard,DE,DEF,6,6,0,0,62,0
18003,1,2020,ARI,41,K.Drake,RB,OFF,15,15,13,326,0,0
18004,1,2020,GB,34,K.Russell,CB,DEF,1,1,0,0,0,2
18005,1,2020,NE,90,S.Calhoun,LB,DEF,10,10,0,0,136,47
18006,1,2020,SF,78,S.Coleman,OT,OFF,0,0,0,0,0,0
